F1	Sens	Spec	PPV	NPV	TP	FN	TN	FP	Label
0.79	0.723	0.965	0.87	0.915	201	77	825	30	*
0.571	0.414	0.986	0.923	0.811	12	17	73	1	Congestion or runny nose
0.923	0.973	0.924	0.878	0.984	36	1	61	5	Cough
0.848	0.824	0.977	0.875	0.966	14	3	84	2	Diarrhea
0.667	0.556	0.961	0.833	0.859	15	12	73	3	Dyspnea
0.808	0.808	0.935	0.808	0.935	21	5	72	5	Fatigue
0.876	0.929	0.869	0.83	0.946	39	3	53	8	Fever or chills
0.889	0.87	0.975	0.909	0.963	20	3	78	2	Headache
0.222	0.125	1.0	1.0	0.931	1	7	95	0	Loss of taste or smell
0.118	0.067	0.989	0.5	0.861	1	14	87	1	Muscle or body aches
0.871	0.818	0.971	0.931	0.919	27	6	68	2	Nausea or vomiting
0.811	0.714	0.988	0.938	0.931	15	6	81	1	Sore throat
