F1	Sens	Spec	PPV	NPV	TP	FN	TN	FP	Label
0.795	0.712	0.974	0.9	0.912	198	80	833	22	*
0.488	0.345	0.973	0.833	0.791	10	19	72	2	Congestion or runny nose
0.96	0.973	0.97	0.947	0.985	36	1	64	2	Cough
0.909	0.882	0.988	0.938	0.977	15	2	85	1	Diarrhea
0.698	0.556	0.987	0.938	0.862	15	12	75	1	Dyspnea
0.755	0.769	0.909	0.741	0.921	20	6	70	7	Fatigue
0.918	0.929	0.934	0.907	0.95	39	3	57	4	Fever or chills
0.864	0.826	0.975	0.905	0.951	19	4	78	2	Headache
0.222	0.125	1.0	1.0	0.931	1	7	95	0	Loss of taste or smell
0.125	0.067	1.0	1.0	0.863	1	14	88	0	Muscle or body aches
0.867	0.788	0.986	0.963	0.908	26	7	69	1	Nausea or vomiting
0.821	0.762	0.976	0.889	0.941	16	5	80	2	Sore throat
