F1	Sens	Spec	PPV	NPV	TP	FN	TN	FP	Label
0.884	0.888	0.96	0.879	0.964	247	31	821	34	*
0.893	0.862	0.973	0.926	0.947	25	4	72	2	Congestion or runny nose
0.947	0.973	0.955	0.923	0.984	36	1	63	3	Cough
0.833	0.882	0.953	0.789	0.976	15	2	82	4	Diarrhea
0.809	0.704	0.987	0.95	0.904	19	8	75	1	Dyspnea
0.807	0.885	0.896	0.742	0.958	23	3	69	8	Fatigue
0.932	0.976	0.918	0.891	0.982	41	1	56	5	Fever or chills
0.92	1.0	0.95	0.852	1.0	23	0	76	4	Headache
0.875	0.875	0.989	0.875	0.989	7	1	94	1	Loss of taste or smell
0.64	0.533	0.977	0.8	0.925	8	7	86	2	Muscle or body aches
0.909	0.909	0.957	0.909	0.957	30	3	67	3	Nausea or vomiting
0.952	0.952	0.988	0.952	0.988	20	1	81	1	Sore throat
