F1	Sens	Spec	PPV	NPV	TP	FN	TN	FP	Label
0.783	0.694	0.974	0.898	0.907	193	85	833	22	*
0.462	0.31	0.986	0.9	0.785	9	20	73	1	Congestion or runny nose
0.923	0.973	0.924	0.878	0.984	36	1	61	5	Cough
0.839	0.765	0.988	0.929	0.955	13	4	85	1	Diarrhea
0.634	0.481	0.987	0.929	0.843	13	14	75	1	Dyspnea
0.824	0.808	0.948	0.84	0.936	21	5	73	4	Fatigue
0.905	0.905	0.934	0.905	0.934	38	4	57	4	Fever or chills
0.913	0.913	0.975	0.913	0.975	21	2	78	2	Headache
0.4	0.25	1.0	1.0	0.941	2	6	95	0	Loss of taste or smell
0.125	0.067	1.0	1.0	0.863	1	14	88	0	Muscle or body aches
0.772	0.667	0.971	0.917	0.861	22	11	68	2	Nausea or vomiting
0.85	0.81	0.976	0.895	0.952	17	4	80	2	Sore throat
