F1	Sens	Spec	PPV	NPV	TP	FN	TN	FP	Label
0.898	0.899	0.966	0.896	0.967	250	28	826	29	*
0.893	0.862	0.973	0.926	0.947	25	4	72	2	Congestion or runny nose
0.961	1.0	0.955	0.925	1.0	37	0	63	3	Cough
0.842	0.941	0.942	0.762	0.988	16	1	81	5	Diarrhea
0.792	0.704	0.974	0.905	0.902	19	8	74	2	Dyspnea
0.836	0.885	0.922	0.793	0.959	23	3	71	6	Fatigue
0.943	0.976	0.934	0.911	0.983	41	1	57	4	Fever or chills
0.958	1.0	0.975	0.92	1.0	23	0	78	2	Headache
0.941	1.0	0.989	0.889	1.0	8	0	94	1	Loss of taste or smell
0.667	0.533	0.989	0.889	0.926	8	7	87	1	Muscle or body aches
0.923	0.909	0.971	0.938	0.958	30	3	68	2	Nausea or vomiting
0.952	0.952	0.988	0.952	0.988	20	1	81	1	Sore throat
