F1	Sens	Spec	PPV	NPV	TP	FN	TN	FP	Label
0.772	0.727	0.95	0.824	0.914	202	76	812	43	*
0.625	0.517	0.946	0.789	0.833	15	14	70	4	Congestion or runny nose
0.907	0.919	0.939	0.895	0.954	34	3	62	4	Cough
0.812	0.765	0.977	0.867	0.955	13	4	84	2	Diarrhea
0.756	0.63	0.987	0.944	0.882	17	10	75	1	Dyspnea
0.689	0.808	0.818	0.6	0.926	21	5	63	14	Fatigue
0.86	0.952	0.82	0.784	0.962	40	2	50	11	Fever or chills
0.864	0.826	0.975	0.905	0.951	19	4	78	2	Headache
0	0	0	0	0	0	8	94	1	Loss of taste or smell
0.118	0.067	0.989	0.5	0.861	1	14	87	1	Muscle or body aches
0.8	0.727	0.957	0.889	0.882	24	9	67	3	Nausea or vomiting
0.923	0.857	1.0	1.0	0.965	18	3	82	0	Sore throat
