F1	Sens	Spec	PPV	NPV	TP	FN	TN	FP	Label
0.877	0.888	0.956	0.867	0.963	247	31	817	38	*
0.931	0.931	0.973	0.931	0.973	27	2	72	2	Congestion or runny nose
0.947	0.973	0.955	0.923	0.984	36	1	63	3	Cough
0.889	0.941	0.965	0.842	0.988	16	1	83	3	Diarrhea
0.766	0.667	0.974	0.9	0.892	18	9	74	2	Dyspnea
0.774	0.923	0.844	0.667	0.97	24	2	65	12	Fatigue
0.93	0.952	0.934	0.909	0.966	40	2	57	4	Fever or chills
0.92	1.0	0.95	0.852	1.0	23	0	76	4	Headache
0.842	1.0	0.968	0.727	1.0	8	0	92	3	Loss of taste or smell
0.692	0.6	0.977	0.818	0.935	9	6	86	2	Muscle or body aches
0.871	0.818	0.971	0.931	0.919	27	6	68	2	Nausea or vomiting
0.927	0.905	0.988	0.95	0.976	19	2	81	1	Sore throat
