F1	Sens	Spec	PPV	NPV	TP	FN	TN	FP	Label
0.861	0.867	0.952	0.855	0.957	241	37	814	41	*
0.881	0.897	0.946	0.867	0.959	26	3	70	4	Congestion or runny nose
0.947	0.973	0.955	0.923	0.984	36	1	63	3	Cough
0.889	0.941	0.965	0.842	0.988	16	1	83	3	Diarrhea
0.766	0.667	0.974	0.9	0.892	18	9	74	2	Dyspnea
0.759	0.846	0.87	0.688	0.944	22	4	67	10	Fatigue
0.92	0.952	0.918	0.889	0.966	40	2	56	5	Fever or chills
0.92	1.0	0.95	0.852	1.0	23	0	76	4	Headache
0.842	1.0	0.968	0.727	1.0	8	0	92	3	Loss of taste or smell
0.692	0.6	0.977	0.818	0.935	9	6	86	2	Muscle or body aches
0.8	0.727	0.957	0.889	0.882	24	9	67	3	Nausea or vomiting
0.905	0.905	0.976	0.905	0.976	19	2	80	2	Sore throat
