F1	Sens	Spec	PPV	NPV	TP	FN	TN	FP	Label
0.896	0.881	0.972	0.911	0.962	245	33	831	24	*
0.947	0.931	0.986	0.964	0.973	27	2	73	1	Congestion or runny nose
0.919	0.919	0.955	0.919	0.955	34	3	63	3	Cough
0.875	0.824	0.988	0.933	0.966	14	3	85	1	Diarrhea
0.833	0.741	0.987	0.952	0.915	20	7	75	1	Dyspnea
0.836	0.885	0.922	0.793	0.959	23	3	71	6	Fatigue
0.932	0.976	0.918	0.891	0.982	41	1	56	5	Fever or chills
0.913	0.913	0.975	0.913	0.975	21	2	78	2	Headache
0.941	1.0	0.989	0.889	1.0	8	0	94	1	Loss of taste or smell
0.522	0.4	0.977	0.75	0.905	6	9	86	2	Muscle or body aches
0.954	0.939	0.986	0.969	0.972	31	2	69	1	Nausea or vomiting
0.952	0.952	0.988	0.952	0.988	20	1	81	1	Sore throat
