F1	Sens	Spec	PPV	NPV	TP	FN	TN	FP	Label
0.887	0.878	0.967	0.897	0.961	244	34	827	28	*
0.915	0.931	0.959	0.9	0.973	27	2	71	3	Congestion or runny nose
0.907	0.919	0.939	0.895	0.954	34	3	62	4	Cough
0.909	0.882	0.988	0.938	0.977	15	2	85	1	Diarrhea
0.833	0.741	0.987	0.952	0.915	20	7	75	1	Dyspnea
0.836	0.885	0.922	0.793	0.959	23	3	71	6	Fatigue
0.93	0.952	0.934	0.909	0.966	40	2	57	4	Fever or chills
0.889	0.87	0.975	0.909	0.963	20	3	78	2	Headache
0.941	1.0	0.989	0.889	1.0	8	0	94	1	Loss of taste or smell
0.56	0.467	0.966	0.7	0.914	7	8	85	3	Muscle or body aches
0.923	0.909	0.971	0.938	0.958	30	3	68	2	Nausea or vomiting
0.952	0.952	0.988	0.952	0.988	20	1	81	1	Sore throat
