F1	Sens	Spec	PPV	NPV	TP	FN	TN	FP	Label
0.791	0.716	0.97	0.884	0.913	199	79	829	26	*
0.524	0.379	0.973	0.846	0.8	11	18	72	2	Congestion or runny nose
0.907	0.919	0.939	0.895	0.954	34	3	62	4	Cough
0.875	0.824	0.988	0.933	0.966	14	3	85	1	Diarrhea
0.605	0.481	0.961	0.812	0.839	13	14	73	3	Dyspnea
0.769	0.769	0.922	0.769	0.922	20	6	71	6	Fatigue
0.892	0.881	0.934	0.902	0.919	37	5	57	4	Fever or chills
0.913	0.913	0.975	0.913	0.975	21	2	78	2	Headache
0.222	0.125	1.0	1.0	0.931	1	7	95	0	Loss of taste or smell
0.125	0.067	1.0	1.0	0.863	1	14	88	0	Muscle or body aches
0.889	0.848	0.971	0.933	0.932	28	5	68	2	Nausea or vomiting
0.905	0.905	0.976	0.905	0.976	19	2	80	2	Sore throat
