F1	Sens	Spec	PPV	NPV	TP	FN	TN	FP	Label
0.826	0.766	0.971	0.895	0.927	213	65	830	25	*
0.75	0.621	0.986	0.947	0.869	18	11	73	1	Congestion or runny nose
0.886	0.838	0.97	0.939	0.914	31	6	64	2	Cough
0.909	0.882	0.988	0.938	0.977	15	2	85	1	Diarrhea
0.809	0.704	0.987	0.95	0.904	19	8	75	1	Dyspnea
0.8	0.846	0.909	0.759	0.946	22	4	70	7	Fatigue
0.902	0.881	0.951	0.925	0.921	37	5	58	3	Fever or chills
0.894	0.913	0.963	0.875	0.975	21	2	77	3	Headache
0.545	0.375	1.0	1.0	0.95	3	5	95	0	Loss of taste or smell
0	0	0	0	0	0	15	85	3	Muscle or body aches
0.875	0.848	0.957	0.903	0.931	28	5	67	3	Nausea or vomiting
0.927	0.905	0.988	0.95	0.976	19	2	81	1	Sore throat
