F1	Sens	Spec	PPV	NPV	TP	FN	TN	FP	Label
0.908	0.91	0.97	0.907	0.971	253	25	829	26	*
0.931	0.931	0.973	0.931	0.973	27	2	72	2	Congestion or runny nose
0.921	0.946	0.939	0.897	0.969	35	2	62	4	Cough
0.909	0.882	0.988	0.938	0.977	15	2	85	1	Diarrhea
0.88	0.815	0.987	0.957	0.938	22	5	75	1	Dyspnea
0.877	0.962	0.922	0.806	0.986	25	1	71	6	Fatigue
0.93	0.952	0.934	0.909	0.966	40	2	57	4	Fever or chills
0.913	0.913	0.975	0.913	0.975	21	2	78	2	Headache
0.941	1.0	0.989	0.889	1.0	8	0	94	1	Loss of taste or smell
0.64	0.533	0.977	0.8	0.925	8	7	86	2	Muscle or body aches
0.939	0.939	0.971	0.939	0.971	31	2	68	2	Nausea or vomiting
0.977	1.0	0.988	0.955	1.0	21	0	81	1	Sore throat
