F1	Sens	Spec	PPV	NPV	TP	FN	TN	FP	Label
0.794	0.741	0.959	0.855	0.919	206	72	820	35	*
0.681	0.552	0.973	0.889	0.847	16	13	72	2	Congestion or runny nose
0.895	0.919	0.924	0.872	0.953	34	3	61	5	Cough
0.857	0.882	0.965	0.833	0.976	15	2	83	3	Diarrhea
0.708	0.63	0.947	0.81	0.878	17	10	72	4	Dyspnea
0.717	0.731	0.896	0.704	0.908	19	7	69	8	Fatigue
0.918	0.929	0.934	0.907	0.95	39	3	57	4	Fever or chills
0.87	0.87	0.963	0.87	0.963	20	3	77	3	Headache
0.4	0.25	1.0	1.0	0.941	2	6	95	0	Loss of taste or smell
0	0	0	0	0	0	15	86	2	Muscle or body aches
0.871	0.818	0.971	0.931	0.919	27	6	68	2	Nausea or vomiting
0.85	0.81	0.976	0.895	0.952	17	4	80	2	Sore throat
