F1	Sens	Spec	PPV	NPV	TP	FN	TN	FP	Label
0.901	0.896	0.97	0.905	0.966	249	29	829	26	*
0.931	0.931	0.973	0.931	0.973	27	2	72	2	Congestion or runny nose
0.921	0.946	0.939	0.897	0.969	35	2	62	4	Cough
0.909	0.882	0.988	0.938	0.977	15	2	85	1	Diarrhea
0.902	0.852	0.987	0.958	0.949	23	4	75	1	Dyspnea
0.873	0.923	0.935	0.828	0.973	24	2	72	5	Fatigue
0.943	0.976	0.934	0.911	0.983	41	1	57	4	Fever or chills
0.913	0.913	0.975	0.913	0.975	21	2	78	2	Headache
0.941	1.0	0.989	0.889	1.0	8	0	94	1	Loss of taste or smell
0.56	0.467	0.966	0.7	0.914	7	8	85	3	Muscle or body aches
0.889	0.848	0.971	0.933	0.932	28	5	68	2	Nausea or vomiting
0.952	0.952	0.988	0.952	0.988	20	1	81	1	Sore throat
