F1	Sens	Spec	PPV	NPV	TP	FN	TN	FP	Label
0.814	0.741	0.974	0.904	0.92	206	72	833	22	*
0.524	0.379	0.973	0.846	0.8	11	18	72	2	Congestion or runny nose
0.921	0.946	0.939	0.897	0.969	35	2	62	4	Cough
0.875	0.824	0.988	0.933	0.966	14	3	85	1	Diarrhea
0.833	0.741	0.987	0.952	0.915	20	7	75	1	Dyspnea
0.808	0.808	0.935	0.808	0.935	21	5	72	5	Fatigue
0.881	0.881	0.918	0.881	0.918	37	5	56	5	Fever or chills
0.889	0.87	0.975	0.909	0.963	20	3	78	2	Headache
0.4	0.25	1.0	1.0	0.941	2	6	95	0	Loss of taste or smell
0.125	0.067	1.0	1.0	0.863	1	14	88	0	Muscle or body aches
0.867	0.788	0.986	0.963	0.908	26	7	69	1	Nausea or vomiting
0.927	0.905	0.988	0.95	0.976	19	2	81	1	Sore throat
