F1	Sens	Spec	PPV	NPV	TP	FN	TN	FP	Label
0.665	0.777	0.818	0.581	0.919	216	62	699	156	*
0.578	0.448	0.959	0.812	0.816	13	16	71	3	Congestion or runny nose
0.814	0.946	0.788	0.714	0.963	35	2	52	14	Cough
0.612	0.882	0.802	0.469	0.972	15	2	69	17	Diarrhea
0.621	0.667	0.829	0.581	0.875	18	9	63	13	Dyspnea
0.622	0.885	0.675	0.479	0.945	23	3	52	25	Fatigue
0.727	0.952	0.541	0.588	0.943	40	2	33	28	Fever or chills
0.629	0.957	0.688	0.468	0.982	22	1	55	25	Headache
0.4	0.25	1.0	1.0	0.941	2	6	95	0	Loss of taste or smell
0.118	0.067	0.989	0.5	0.861	1	14	87	1	Muscle or body aches
0.757	0.848	0.814	0.683	0.919	28	5	57	13	Nausea or vomiting
0.667	0.905	0.793	0.528	0.97	19	2	65	17	Sore throat
