F1	Sens	Spec	PPV	NPV	TP	FN	TN	FP	Label
0.826	0.82	0.946	0.832	0.942	228	50	809	46	*
0.816	0.69	1.0	1.0	0.892	20	9	74	0	Congestion or runny nose
0.877	0.865	0.939	0.889	0.925	32	5	62	4	Cough
0.842	0.941	0.942	0.762	0.988	16	1	81	5	Diarrhea
0.739	0.63	0.974	0.895	0.881	17	10	74	2	Dyspnea
0.735	0.962	0.779	0.595	0.984	25	1	60	17	Fatigue
0.907	0.929	0.918	0.886	0.949	39	3	56	5	Fever or chills
0.851	0.87	0.95	0.833	0.962	20	3	76	4	Headache
0.875	0.875	0.989	0.875	0.989	7	1	94	1	Loss of taste or smell
0.571	0.533	0.943	0.615	0.922	8	7	83	5	Muscle or body aches
0.867	0.788	0.986	0.963	0.908	26	7	69	1	Nausea or vomiting
0.878	0.857	0.976	0.9	0.964	18	3	80	2	Sore throat
