F1	Sens	Spec	PPV	NPV	TP	FN	TN	FP	Label
0.721	0.701	0.92	0.741	0.905	195	83	787	68	*
0.389	0.241	1.0	1.0	0.771	7	22	74	0	Congestion or runny nose
0.909	0.946	0.924	0.875	0.968	35	2	61	5	Cough
0.683	0.824	0.884	0.583	0.962	14	3	76	10	Diarrhea
0.723	0.63	0.961	0.85	0.88	17	10	73	3	Dyspnea
0.71	0.846	0.818	0.611	0.94	22	4	63	14	Fatigue
0.809	0.905	0.77	0.731	0.922	38	4	47	14	Fever or chills
0.741	0.87	0.863	0.645	0.958	20	3	69	11	Headache
0	0	0	0	0	0	8	95	0	Loss of taste or smell
0.125	0.067	1.0	1.0	0.863	1	14	88	0	Muscle or body aches
0.754	0.697	0.929	0.821	0.867	23	10	65	5	Nausea or vomiting
0.8	0.857	0.927	0.75	0.962	18	3	76	6	Sore throat
