F1	Sens	Spec	PPV	NPV	TP	FN	TN	FP	Label
0.605	0.835	0.699	0.474	0.929	232	46	598	257	*
0.578	0.448	0.959	0.812	0.816	13	16	71	3	Congestion or runny nose
0.764	0.919	0.727	0.654	0.941	34	3	48	18	Cough
0.593	0.941	0.756	0.432	0.985	16	1	65	21	Diarrhea
0.549	0.926	0.487	0.391	0.949	25	2	37	39	Dyspnea
0.558	0.923	0.532	0.4	0.953	24	2	41	36	Fatigue
0.683	0.976	0.393	0.526	0.96	41	1	24	37	Fever or chills
0.568	1.0	0.562	0.397	1.0	23	0	45	35	Headache
0.429	0.375	0.968	0.5	0.948	3	5	92	3	Loss of taste or smell
0.296	0.267	0.909	0.333	0.879	4	11	80	8	Muscle or body aches
0.659	0.879	0.629	0.527	0.917	29	4	44	26	Nausea or vomiting
0.556	0.952	0.622	0.392	0.981	20	1	51	31	Sore throat
