F1	Sens	Spec	PPV	NPV	TP	FN	TN	FP	Label
0.724	0.701	0.923	0.747	0.905	195	83	789	66	*
0.41	0.276	0.973	0.8	0.774	8	21	72	2	Congestion or runny nose
0.88	0.892	0.924	0.868	0.938	33	4	61	5	Cough
0.516	0.471	0.93	0.571	0.899	8	9	80	6	Diarrhea
0.72	0.667	0.934	0.783	0.887	18	9	71	5	Dyspnea
0.678	0.769	0.831	0.606	0.914	20	6	64	13	Fatigue
0.804	0.929	0.738	0.709	0.938	39	3	45	16	Fever or chills
0.764	0.913	0.863	0.656	0.972	21	2	69	11	Headache
0	0	0	0	0	0	8	95	0	Loss of taste or smell
0.125	0.067	1.0	1.0	0.863	1	14	88	0	Muscle or body aches
0.848	0.848	0.929	0.848	0.929	28	5	65	5	Nausea or vomiting
0.884	0.905	0.963	0.864	0.975	19	2	79	3	Sore throat
