F1	Sens	Spec	PPV	NPV	TP	FN	TN	FP	Label
0.557	0.863	0.598	0.411	0.931	240	38	511	344	*
0.63	0.586	0.892	0.68	0.846	17	12	66	8	Congestion or runny nose
0.742	0.973	0.636	0.6	0.977	36	1	42	24	Cough
0.5	0.882	0.674	0.349	0.967	15	2	58	28	Diarrhea
0.536	0.963	0.421	0.371	0.97	26	1	32	44	Dyspnea
0.485	0.962	0.325	0.325	0.962	25	1	25	52	Fatigue
0.689	1.0	0.377	0.525	1.0	42	0	23	38	Fever or chills
0.46	1.0	0.325	0.299	1.0	23	0	26	54	Headache
0.083	0.125	0.842	0.062	0.92	1	7	80	15	Loss of taste or smell
0.333	0.333	0.886	0.333	0.886	5	10	78	10	Muscle or body aches
0.619	0.909	0.514	0.469	0.923	30	3	36	34	Nausea or vomiting
0.513	0.952	0.549	0.351	0.978	20	1	45	37	Sore throat
