F1	Sens	Spec	PPV	NPV	TP	FN	TN	FP	Label
0.858	0.91	0.931	0.811	0.97	253	25	796	59	*
0.929	0.897	0.986	0.963	0.961	26	3	73	1	Congestion or runny nose
0.919	0.919	0.955	0.919	0.955	34	3	63	3	Cough
0.821	0.941	0.93	0.727	0.988	16	1	80	6	Diarrhea
0.792	0.704	0.974	0.905	0.902	19	8	74	2	Dyspnea
0.765	1.0	0.792	0.619	1.0	26	0	61	16	Fatigue
0.92	0.952	0.918	0.889	0.966	40	2	56	5	Fever or chills
0.894	0.913	0.963	0.875	0.975	21	2	77	3	Headache
0.875	0.875	0.989	0.875	0.989	7	1	94	1	Loss of taste or smell
0.636	0.933	0.83	0.483	0.986	14	1	73	15	Muscle or body aches
0.937	0.909	0.986	0.968	0.958	30	3	69	1	Nausea or vomiting
0.851	0.952	0.927	0.769	0.987	20	1	76	6	Sore throat
