F1	Sens	Spec	PPV	NPV	TP	FN	TN	FP	Label
0.848	0.881	0.936	0.817	0.96	245	33	800	55	*
0.909	0.862	0.986	0.962	0.948	25	4	73	1	Congestion or runny nose
0.904	0.892	0.955	0.917	0.94	33	4	63	3	Cough
0.821	0.941	0.93	0.727	0.988	16	1	80	6	Diarrhea
0.766	0.667	0.974	0.9	0.892	18	9	74	2	Dyspnea
0.758	0.962	0.805	0.625	0.984	25	1	62	15	Fatigue
0.907	0.929	0.918	0.886	0.949	39	3	56	5	Fever or chills
0.87	0.87	0.963	0.87	0.963	20	3	77	3	Headache
0.8	0.75	0.989	0.857	0.979	6	2	94	1	Loss of taste or smell
0.619	0.867	0.841	0.481	0.974	13	2	74	14	Muscle or body aches
0.937	0.909	0.986	0.968	0.958	30	3	69	1	Nausea or vomiting
0.889	0.952	0.951	0.833	0.987	20	1	78	4	Sore throat
