F1	Sens	Spec	PPV	NPV	TP	FN	TN	FP	Label
0.513	0.777	0.593	0.383	0.891	216	62	507	348	*
0.45	0.31	0.973	0.818	0.783	9	20	72	2	Congestion or runny nose
0.643	1.0	0.379	0.474	1.0	37	0	25	41	Cough
0.389	0.824	0.523	0.255	0.938	14	3	45	41	Diarrhea
0.432	0.704	0.447	0.311	0.81	19	8	34	42	Dyspnea
0.48	0.923	0.351	0.324	0.931	24	2	27	50	Fatigue
0.667	0.976	0.344	0.506	0.955	41	1	21	40	Fever or chills
0.489	0.957	0.438	0.328	0.972	22	1	35	45	Headache
0.4	0.25	1.0	1.0	0.941	2	6	95	0	Loss of taste or smell
0.125	0.067	1.0	1.0	0.863	1	14	88	0	Muscle or body aches
0.54	0.818	0.429	0.403	0.833	27	6	30	40	Nausea or vomiting
0.455	0.952	0.427	0.299	0.972	20	1	35	47	Sore throat
