F1	Sens	Spec	PPV	NPV	TP	FN	TN	FP	Label
0.772	0.781	0.922	0.764	0.928	217	61	788	67	*
0.852	0.793	0.973	0.92	0.923	23	6	72	2	Congestion or runny nose
0.873	0.838	0.955	0.912	0.913	31	6	63	3	Cough
0.743	0.765	0.942	0.722	0.953	13	4	81	5	Diarrhea
0.8	0.741	0.961	0.87	0.912	20	7	73	3	Dyspnea
0.606	0.769	0.74	0.5	0.905	20	6	57	20	Fatigue
0.825	0.786	0.918	0.868	0.862	33	9	56	5	Fever or chills
0.791	0.739	0.963	0.85	0.928	17	6	77	3	Headache
0.8	0.75	0.989	0.857	0.979	6	2	94	1	Loss of taste or smell
0.5	0.667	0.83	0.4	0.936	10	5	73	15	Muscle or body aches
0.833	0.758	0.971	0.926	0.895	25	8	68	2	Nausea or vomiting
0.792	0.905	0.902	0.704	0.974	19	2	74	8	Sore throat
