F1	Sens	Spec	PPV	NPV	TP	FN	TN	FP	Label
0.544	0.698	0.718	0.446	0.88	194	84	614	241	*
0.235	0.138	0.986	0.8	0.745	4	25	73	1	Congestion or runny nose
0.72	0.973	0.591	0.571	0.975	36	1	39	27	Cough
0.5	0.824	0.709	0.359	0.953	14	3	61	25	Diarrhea
0.521	0.704	0.645	0.413	0.86	19	8	49	27	Dyspnea
0.512	0.846	0.506	0.367	0.907	22	4	39	38	Fatigue
0.718	0.881	0.607	0.607	0.881	37	5	37	24	Fever or chills
0.533	0.87	0.6	0.385	0.941	20	3	48	32	Headache
0.222	0.125	1.0	1.0	0.931	1	7	95	0	Loss of taste or smell
0.118	0.067	0.989	0.5	0.861	1	14	87	1	Muscle or body aches
0.588	0.758	0.614	0.481	0.843	25	8	43	27	Nausea or vomiting
0.4	0.714	0.524	0.278	0.878	15	6	43	39	Sore throat
