F1	Sens	Spec	PPV	NPV	TP	FN	TN	FP	Label
0.493	0.773	0.557	0.362	0.883	215	63	476	379	*
0.727	0.69	0.919	0.769	0.883	20	9	68	6	Congestion or runny nose
0.655	1.0	0.409	0.487	1.0	37	0	27	39	Cough
0.314	0.647	0.512	0.208	0.88	11	6	44	42	Diarrhea
0.395	0.556	0.553	0.306	0.778	15	12	42	34	Dyspnea
0.423	0.846	0.273	0.282	0.84	22	4	21	56	Fatigue
0.594	0.905	0.213	0.442	0.765	38	4	13	48	Fever or chills
0.449	0.957	0.338	0.293	0.964	22	1	27	53	Headache
0.5	0.375	0.989	0.75	0.949	3	5	94	1	Loss of taste or smell
0.077	0.067	0.886	0.091	0.848	1	14	78	10	Muscle or body aches
0.56	0.848	0.443	0.418	0.861	28	5	31	39	Nausea or vomiting
0.4	0.857	0.378	0.261	0.912	18	3	31	51	Sore throat
