F1	Sens	Spec	PPV	NPV	TP	FN	TN	FP	Label
0.778	0.745	0.945	0.815	0.919	207	71	808	47	*
0.863	0.759	1.0	1.0	0.914	22	7	74	0	Congestion or runny nose
0.87	0.811	0.97	0.938	0.901	30	7	64	2	Cough
0.8	0.824	0.953	0.778	0.965	14	3	82	4	Diarrhea
0.776	0.704	0.961	0.864	0.901	19	8	73	3	Dyspnea
0.554	0.692	0.727	0.462	0.875	18	8	56	21	Fatigue
0.821	0.762	0.934	0.889	0.851	32	10	57	4	Fever or chills
0.864	0.826	0.975	0.905	0.951	19	4	78	2	Headache
0.857	0.75	1.0	1.0	0.979	6	2	95	0	Loss of taste or smell
0.552	0.533	0.932	0.571	0.921	8	7	82	6	Muscle or body aches
0.793	0.697	0.971	0.92	0.872	23	10	68	2	Nausea or vomiting
0.8	0.762	0.963	0.842	0.94	16	5	79	3	Sore throat
