F1	Sens	Spec	PPV	NPV	TP	FN	TN	FP	Label
0.798	0.795	0.936	0.801	0.933	221	57	800	55	*
0.945	0.897	1.0	1.0	0.961	26	3	74	0	Congestion or runny nose
0.947	0.973	0.955	0.923	0.984	36	1	63	3	Cough
0.811	0.882	0.942	0.75	0.976	15	2	81	5	Diarrhea
0.8	0.741	0.961	0.87	0.912	20	7	73	3	Dyspnea
0.592	0.808	0.688	0.467	0.914	21	5	53	24	Fatigue
0.821	0.762	0.934	0.889	0.851	32	10	57	4	Fever or chills
0.844	0.826	0.963	0.864	0.951	19	4	77	3	Headache
0.857	0.75	1.0	1.0	0.979	6	2	95	0	Loss of taste or smell
0.581	0.6	0.92	0.562	0.931	9	6	81	7	Muscle or body aches
0.772	0.667	0.971	0.917	0.861	22	11	68	2	Nausea or vomiting
0.75	0.714	0.951	0.789	0.929	15	6	78	4	Sore throat
