F1	Sens	Spec	PPV	NPV	TP	FN	TN	FP	Label
0.581	0.719	0.753	0.487	0.892	200	78	644	211	*
0.612	0.517	0.932	0.75	0.831	15	14	69	5	Congestion or runny nose
0.733	0.892	0.697	0.623	0.92	33	4	46	20	Cough
0.471	0.706	0.744	0.353	0.928	12	5	64	22	Diarrhea
0.373	0.407	0.724	0.344	0.775	11	16	55	21	Dyspnea
0.55	0.846	0.584	0.407	0.918	22	4	45	32	Fatigue
0.738	0.905	0.623	0.623	0.905	38	4	38	23	Fever or chills
0.568	0.913	0.625	0.412	0.962	21	2	50	30	Headache
0.4	0.25	1.0	1.0	0.941	2	6	95	0	Loss of taste or smell
0.091	0.067	0.932	0.143	0.854	1	14	82	6	Muscle or body aches
0.571	0.788	0.543	0.448	0.844	26	7	38	32	Nausea or vomiting
0.633	0.905	0.756	0.487	0.969	19	2	62	20	Sore throat
