F1	Sens	Spec	PPV	NPV	TP	FN	TN	FP	Label
0.541	0.799	0.625	0.409	0.905	222	56	534	321	*
0.622	0.483	0.973	0.875	0.828	14	15	72	2	Congestion or runny nose
0.679	1.0	0.47	0.514	1.0	37	0	31	35	Cough
0.417	0.882	0.535	0.273	0.958	15	2	46	40	Diarrhea
0.511	0.852	0.474	0.365	0.9	23	4	36	40	Dyspnea
0.505	0.885	0.455	0.354	0.921	23	3	35	42	Fatigue
0.645	0.929	0.344	0.494	0.875	39	3	21	40	Fever or chills
0.53	0.957	0.525	0.367	0.977	22	1	42	38	Headache
0.4	0.25	1.0	1.0	0.941	2	6	95	0	Loss of taste or smell
0.111	0.067	0.977	0.333	0.86	1	14	86	2	Muscle or body aches
0.529	0.818	0.4	0.391	0.824	27	6	28	42	Nausea or vomiting
0.475	0.905	0.512	0.322	0.955	19	2	42	40	Sore throat
