F1	Sens	Spec	PPV	NPV	TP	FN	TN	FP	Label
0.854	0.924	0.922	0.793	0.974	257	21	788	67	*
0.929	0.897	0.986	0.963	0.961	26	3	73	1	Congestion or runny nose
0.933	0.946	0.955	0.921	0.969	35	2	63	3	Cough
0.821	0.941	0.93	0.727	0.988	16	1	80	6	Diarrhea
0.816	0.741	0.974	0.909	0.914	20	7	74	2	Dyspnea
0.712	1.0	0.727	0.553	1.0	26	0	56	21	Fatigue
0.92	0.952	0.918	0.889	0.966	40	2	56	5	Fever or chills
0.875	0.913	0.95	0.84	0.974	21	2	76	4	Headache
0.941	1.0	0.989	0.889	1.0	8	0	94	1	Loss of taste or smell
0.612	1.0	0.784	0.441	1.0	15	0	69	19	Muscle or body aches
0.921	0.879	0.986	0.967	0.945	29	4	69	1	Nausea or vomiting
0.913	1.0	0.951	0.84	1.0	21	0	78	4	Sore throat
