F1	Sens	Spec	PPV	NPV	TP	FN	TN	FP	Label
0.513	0.799	0.573	0.378	0.897	222	56	490	365	*
0.704	0.655	0.919	0.76	0.872	19	10	68	6	Congestion or runny nose
0.643	0.973	0.409	0.48	0.964	36	1	27	39	Cough
0.435	0.882	0.57	0.288	0.961	15	2	49	37	Diarrhea
0.437	0.704	0.461	0.317	0.814	19	8	35	41	Dyspnea
0.44	0.923	0.234	0.289	0.9	24	2	18	59	Fatigue
0.624	0.929	0.279	0.47	0.85	39	3	17	44	Fever or chills
0.458	0.957	0.362	0.301	0.967	22	1	29	51	Headache
0.4	0.25	1.0	1.0	0.941	2	6	95	0	Loss of taste or smell
0	0	0	0	0	0	15	85	3	Muscle or body aches
0.551	0.818	0.457	0.415	0.842	27	6	32	38	Nausea or vomiting
0.437	0.905	0.427	0.288	0.946	19	2	35	47	Sore throat
