F1	Sens	Spec	PPV	NPV	TP	FN	TN	FP	Label
0.701	0.629	0.946	0.792	0.887	175	103	809	46	*
0.84	0.724	1.0	1.0	0.902	21	8	74	0	Congestion or runny nose
0.853	0.784	0.97	0.935	0.889	29	8	64	2	Cough
0.727	0.706	0.953	0.75	0.943	12	5	82	4	Diarrhea
0.636	0.519	0.961	0.824	0.849	14	13	73	3	Dyspnea
0.452	0.538	0.714	0.389	0.821	14	12	55	22	Fatigue
0.838	0.738	0.984	0.969	0.845	31	11	60	1	Fever or chills
0.649	0.522	0.975	0.857	0.876	12	11	78	2	Headache
0.714	0.625	0.989	0.833	0.969	5	3	94	1	Loss of taste or smell
0.571	0.533	0.943	0.615	0.922	8	7	83	5	Muscle or body aches
0.615	0.485	0.957	0.842	0.798	16	17	67	3	Nausea or vomiting
0.703	0.619	0.963	0.812	0.908	13	8	79	3	Sore throat
