F1	Sens	Spec	PPV	NPV	TP	FN	TN	FP	Label
0.719	0.655	0.946	0.798	0.894	182	96	809	46	*
0.926	0.862	1.0	1.0	0.949	25	4	74	0	Congestion or runny nose
0.889	0.865	0.955	0.914	0.926	32	5	63	3	Cough
0.727	0.706	0.953	0.75	0.943	12	5	82	4	Diarrhea
0.667	0.556	0.961	0.833	0.859	15	12	73	3	Dyspnea
0.508	0.615	0.727	0.432	0.848	16	10	56	21	Fatigue
0.822	0.714	0.984	0.968	0.833	30	12	60	1	Fever or chills
0.611	0.478	0.975	0.846	0.867	11	12	78	2	Headache
0.714	0.625	0.989	0.833	0.969	5	3	94	1	Loss of taste or smell
0.571	0.533	0.943	0.615	0.922	8	7	83	5	Muscle or body aches
0.615	0.485	0.957	0.842	0.798	16	17	67	3	Nausea or vomiting
0.667	0.571	0.963	0.8	0.898	12	9	79	3	Sore throat
