F1	Sens	Spec	PPV	NPV	TP	FN	TN	FP	Label
0.719	0.755	0.888	0.686	0.918	210	68	759	96	*
0.622	0.483	0.973	0.875	0.828	14	15	72	2	Congestion or runny nose
0.822	1.0	0.758	0.698	1.0	37	0	50	16	Cough
0.762	0.941	0.895	0.64	0.987	16	1	77	9	Diarrhea
0.586	0.63	0.816	0.548	0.861	17	10	62	14	Dyspnea
0.677	0.846	0.779	0.564	0.938	22	4	60	17	Fatigue
0.87	0.952	0.836	0.8	0.962	40	2	51	10	Fever or chills
0.778	0.913	0.875	0.677	0.972	21	2	70	10	Headache
0.222	0.125	1.0	1.0	0.931	1	7	95	0	Loss of taste or smell
0.118	0.067	0.989	0.5	0.861	1	14	87	1	Muscle or body aches
0.71	0.667	0.9	0.759	0.851	22	11	63	7	Nausea or vomiting
0.76	0.905	0.878	0.655	0.973	19	2	72	10	Sore throat
