F1	Sens	Spec	PPV	NPV	TP	FN	TN	FP	Label
0.769	0.694	0.964	0.862	0.906	193	85	824	31	*
0.578	0.448	0.959	0.812	0.816	13	16	71	3	Congestion or runny nose
0.949	1.0	0.939	0.902	1.0	37	0	62	4	Cough
0.875	0.824	0.988	0.933	0.966	14	3	85	1	Diarrhea
0.667	0.519	0.987	0.933	0.852	14	13	75	1	Dyspnea
0.667	0.692	0.87	0.643	0.893	18	8	67	10	Fatigue
0.897	0.929	0.902	0.867	0.948	39	3	55	6	Fever or chills
0.818	0.783	0.963	0.857	0.939	18	5	77	3	Headache
0.4	0.25	1.0	1.0	0.941	2	6	95	0	Loss of taste or smell
0	0	0	0	0	0	15	88	0	Muscle or body aches
0.764	0.636	0.986	0.955	0.852	21	12	69	1	Nausea or vomiting
0.85	0.81	0.976	0.895	0.952	17	4	80	2	Sore throat
