F1	Sens	Spec	PPV	NPV	TP	FN	TN	FP	Label
0.904	0.917	0.964	0.892	0.973	255	23	824	31	*
0.929	0.897	0.986	0.963	0.961	26	3	73	1	Congestion or runny nose
0.961	1.0	0.955	0.925	1.0	37	0	63	3	Cough
0.889	0.941	0.965	0.842	0.988	16	1	83	3	Diarrhea
0.863	0.815	0.974	0.917	0.937	22	5	74	2	Dyspnea
0.828	0.923	0.896	0.75	0.972	24	2	69	8	Fatigue
0.943	0.976	0.934	0.911	0.983	41	1	57	4	Fever or chills
0.939	1.0	0.963	0.885	1.0	23	0	77	3	Headache
0.941	1.0	0.989	0.889	1.0	8	0	94	1	Loss of taste or smell
0.56	0.467	0.966	0.7	0.914	7	8	85	3	Muscle or body aches
0.923	0.909	0.971	0.938	0.958	30	3	68	2	Nausea or vomiting
0.977	1.0	0.988	0.955	1.0	21	0	81	1	Sore throat
