F1	Sens	Spec	PPV	NPV	TP	FN	TN	FP	Label
0.866	0.871	0.954	0.861	0.958	242	36	816	39	*
0.881	0.897	0.946	0.867	0.959	26	3	70	4	Congestion or runny nose
0.933	0.946	0.955	0.921	0.969	35	2	63	3	Cough
0.889	0.941	0.965	0.842	0.988	16	1	83	3	Diarrhea
0.824	0.778	0.961	0.875	0.924	21	6	73	3	Dyspnea
0.73	0.885	0.818	0.622	0.955	23	3	63	14	Fatigue
0.941	0.952	0.951	0.93	0.967	40	2	58	3	Fever or chills
0.939	1.0	0.963	0.885	1.0	23	0	77	3	Headache
0.889	1.0	0.979	0.8	1.0	8	0	93	2	Loss of taste or smell
0.72	0.6	0.989	0.9	0.935	9	6	87	1	Muscle or body aches
0.793	0.697	0.971	0.92	0.872	23	10	68	2	Nausea or vomiting
0.9	0.857	0.988	0.947	0.964	18	3	81	1	Sore throat
