F1	Sens	Spec	PPV	NPV	TP	FN	TN	FP	Label
0.865	0.863	0.957	0.866	0.956	240	38	818	37	*
0.912	0.897	0.973	0.929	0.96	26	3	72	2	Congestion or runny nose
0.933	0.946	0.955	0.921	0.969	35	2	63	3	Cough
0.889	0.941	0.965	0.842	0.988	16	1	83	3	Diarrhea
0.792	0.704	0.974	0.905	0.902	19	8	74	2	Dyspnea
0.746	0.962	0.792	0.61	0.984	25	1	61	16	Fatigue
0.916	0.905	0.951	0.927	0.935	38	4	58	3	Fever or chills
0.958	1.0	0.975	0.92	1.0	23	0	78	2	Headache
0.889	1.0	0.979	0.8	1.0	8	0	93	2	Loss of taste or smell
0.692	0.6	0.977	0.818	0.935	9	6	86	2	Muscle or body aches
0.828	0.727	0.986	0.96	0.885	24	9	69	1	Nausea or vomiting
0.872	0.81	0.988	0.944	0.953	17	4	81	1	Sore throat
