F1	Sens	Spec	PPV	NPV	TP	FN	TN	FP	Label
0.772	0.723	0.951	0.827	0.913	201	77	813	42	*
0.558	0.414	0.973	0.857	0.809	12	17	72	2	Congestion or runny nose
0.897	0.946	0.909	0.854	0.968	35	2	60	6	Cough
0.789	0.882	0.93	0.714	0.976	15	2	80	6	Diarrhea
0.681	0.593	0.947	0.8	0.867	16	11	72	4	Dyspnea
0.745	0.731	0.922	0.76	0.91	19	7	71	6	Fatigue
0.892	0.881	0.934	0.902	0.919	37	5	57	4	Fever or chills
0.824	0.913	0.912	0.75	0.973	21	2	73	7	Headache
0.222	0.125	1.0	1.0	0.931	1	7	95	0	Loss of taste or smell
0.125	0.067	1.0	1.0	0.863	1	14	88	0	Muscle or body aches
0.787	0.727	0.943	0.857	0.88	24	9	66	4	Nausea or vomiting
0.909	0.952	0.963	0.87	0.988	20	1	79	3	Sore throat
