F1	Sens	Spec	PPV	NPV	TP	FN	TN	FP	Label
0.903	0.917	0.963	0.889	0.973	255	23	823	32	*
0.893	0.862	0.973	0.926	0.947	25	4	72	2	Congestion or runny nose
0.961	1.0	0.955	0.925	1.0	37	0	63	3	Cough
0.889	0.941	0.965	0.842	0.988	16	1	83	3	Diarrhea
0.816	0.741	0.974	0.909	0.914	20	7	74	2	Dyspnea
0.847	0.962	0.896	0.758	0.986	25	1	69	8	Fatigue
0.932	0.976	0.918	0.891	0.982	41	1	56	5	Fever or chills
0.939	1.0	0.963	0.885	1.0	23	0	77	3	Headache
0.941	1.0	0.989	0.889	1.0	8	0	94	1	Loss of taste or smell
0.692	0.6	0.977	0.818	0.935	9	6	86	2	Muscle or body aches
0.939	0.939	0.971	0.939	0.971	31	2	68	2	Nausea or vomiting
0.952	0.952	0.988	0.952	0.988	20	1	81	1	Sore throat
