F1	Sens	Spec	PPV	NPV	TP	FN	TN	FP	Label
0.828	0.752	0.979	0.921	0.924	209	69	837	18	*
0.681	0.552	0.973	0.889	0.847	16	13	72	2	Congestion or runny nose
0.904	0.892	0.955	0.917	0.94	33	4	63	3	Cough
0.875	0.824	0.988	0.933	0.966	14	3	85	1	Diarrhea
0.783	0.667	0.987	0.947	0.893	18	9	75	1	Dyspnea
0.846	0.846	0.948	0.846	0.948	22	4	73	4	Fatigue
0.914	0.881	0.967	0.949	0.922	37	5	59	2	Fever or chills
0.837	0.783	0.975	0.9	0.94	18	5	78	2	Headache
0.545	0.375	1.0	1.0	0.95	3	5	95	0	Loss of taste or smell
0.125	0.067	1.0	1.0	0.863	1	14	88	0	Muscle or body aches
0.923	0.909	0.971	0.938	0.958	30	3	68	2	Nausea or vomiting
0.872	0.81	0.988	0.944	0.953	17	4	81	1	Sore throat
