F1	Sens	Spec	PPV	NPV	TP	FN	TN	FP	Label
0.812	0.745	0.971	0.892	0.921	207	71	830	25	*
0.708	0.586	0.973	0.895	0.857	17	12	72	2	Congestion or runny nose
0.919	0.919	0.955	0.919	0.955	34	3	63	3	Cough
0.839	0.765	0.988	0.929	0.955	13	4	85	1	Diarrhea
0.809	0.704	0.987	0.95	0.904	19	8	75	1	Dyspnea
0.755	0.769	0.909	0.741	0.921	20	6	70	7	Fatigue
0.881	0.881	0.918	0.881	0.918	37	5	56	5	Fever or chills
0.889	0.87	0.975	0.909	0.963	20	3	78	2	Headache
0.545	0.375	1.0	1.0	0.95	3	5	95	0	Loss of taste or smell
0	0	0	0	0	0	15	86	2	Muscle or body aches
0.828	0.727	0.986	0.96	0.885	24	9	69	1	Nausea or vomiting
0.952	0.952	0.988	0.952	0.988	20	1	81	1	Sore throat
