F1	Sens	Spec	PPV	NPV	TP	FN	TN	FP	Label
0.819	0.755	0.971	0.894	0.924	210	68	830	25	*
0.667	0.517	0.986	0.938	0.839	15	14	73	1	Congestion or runny nose
0.904	0.892	0.955	0.917	0.94	33	4	63	3	Cough
0.875	0.824	0.988	0.933	0.966	14	3	85	1	Diarrhea
0.851	0.741	1.0	1.0	0.916	20	7	76	0	Dyspnea
0.8	0.846	0.909	0.759	0.946	22	4	70	7	Fatigue
0.851	0.881	0.869	0.822	0.914	37	5	53	8	Fever or chills
0.889	0.87	0.975	0.909	0.963	20	3	78	2	Headache
0.667	0.5	1.0	1.0	0.96	4	4	95	0	Loss of taste or smell
0.118	0.067	0.989	0.5	0.861	1	14	87	1	Muscle or body aches
0.847	0.758	0.986	0.962	0.896	25	8	69	1	Nausea or vomiting
0.927	0.905	0.988	0.95	0.976	19	2	81	1	Sore throat
