F1	Sens	Spec	PPV	NPV	TP	FN	TN	FP	Label
0.901	0.896	0.97	0.905	0.966	249	29	829	26	*
0.947	0.931	0.986	0.964	0.973	27	2	73	1	Congestion or runny nose
0.933	0.946	0.955	0.921	0.969	35	2	63	3	Cough
0.909	0.882	0.988	0.938	0.977	15	2	85	1	Diarrhea
0.863	0.815	0.974	0.917	0.937	22	5	74	2	Dyspnea
0.857	0.923	0.922	0.8	0.973	24	2	71	6	Fatigue
0.93	0.952	0.934	0.909	0.966	40	2	57	4	Fever or chills
0.913	0.913	0.975	0.913	0.975	21	2	78	2	Headache
0.941	1.0	0.989	0.889	1.0	8	0	94	1	Loss of taste or smell
0.583	0.467	0.977	0.778	0.915	7	8	86	2	Muscle or body aches
0.892	0.879	0.957	0.906	0.944	29	4	67	3	Nausea or vomiting
0.977	1.0	0.988	0.955	1.0	21	0	81	1	Sore throat
