F1	Sens	Spec	PPV	NPV	TP	FN	TN	FP	Label
0.691	0.705	0.891	0.678	0.903	196	82	762	93	*
0.316	0.207	0.959	0.667	0.755	6	23	71	3	Congestion or runny nose
0.831	0.865	0.879	0.8	0.921	32	5	58	8	Cough
0.718	0.824	0.907	0.636	0.963	14	3	78	8	Diarrhea
0.692	0.667	0.908	0.72	0.885	18	9	69	7	Dyspnea
0.647	0.846	0.74	0.524	0.934	22	4	57	20	Fatigue
0.76	0.905	0.672	0.655	0.911	38	4	41	20	Fever or chills
0.778	0.913	0.875	0.677	0.972	21	2	70	10	Headache
0.222	0.125	1.0	1.0	0.931	1	7	95	0	Loss of taste or smell
0.125	0.067	1.0	1.0	0.863	1	14	88	0	Muscle or body aches
0.75	0.727	0.9	0.774	0.875	24	9	63	7	Nausea or vomiting
0.76	0.905	0.878	0.655	0.973	19	2	72	10	Sore throat
