F1	Sens	Spec	PPV	NPV	TP	FN	TN	FP	Label
0.65	0.759	0.813	0.569	0.912	211	67	695	160	*
0.41	0.276	0.973	0.8	0.774	8	21	72	2	Congestion or runny nose
0.815	0.892	0.833	0.75	0.932	33	4	55	11	Cough
0.78	0.941	0.907	0.667	0.987	16	1	78	8	Diarrhea
0.571	0.889	0.566	0.421	0.935	24	3	43	33	Dyspnea
0.603	0.846	0.675	0.468	0.929	22	4	52	25	Fatigue
0.769	0.952	0.639	0.645	0.951	40	2	39	22	Fever or chills
0.646	0.913	0.738	0.5	0.967	21	2	59	21	Headache
0.222	0.125	1.0	1.0	0.931	1	7	95	0	Loss of taste or smell
0.095	0.067	0.943	0.167	0.856	1	14	83	5	Muscle or body aches
0.722	0.788	0.814	0.667	0.891	26	7	57	13	Nausea or vomiting
0.633	0.905	0.756	0.487	0.969	19	2	62	20	Sore throat
