F1	Sens	Spec	PPV	NPV	TP	FN	TN	FP	Label
0.61	0.77	0.754	0.505	0.91	214	64	645	210	*
0.45	0.31	0.973	0.818	0.783	9	20	72	2	Congestion or runny nose
0.833	0.946	0.818	0.745	0.964	35	2	54	12	Cough
0.605	0.765	0.849	0.5	0.948	13	4	73	13	Diarrhea
0.558	0.889	0.539	0.407	0.932	24	3	41	35	Dyspnea
0.489	0.846	0.455	0.344	0.897	22	4	35	42	Fatigue
0.764	1.0	0.574	0.618	1.0	42	0	35	26	Fever or chills
0.525	0.913	0.55	0.368	0.957	21	2	44	36	Headache
0	0	0	0	0	0	8	93	2	Loss of taste or smell
0.111	0.067	0.977	0.333	0.86	1	14	86	2	Muscle or body aches
0.667	0.818	0.7	0.562	0.891	27	6	49	21	Nausea or vomiting
0.667	0.952	0.768	0.513	0.984	20	1	63	19	Sore throat
