F1	Sens	Spec	PPV	NPV	TP	FN	TN	FP	Label
0.561	0.705	0.737	0.466	0.885	196	82	630	225	*
0.462	0.31	0.986	0.9	0.785	9	20	73	1	Congestion or runny nose
0.72	0.973	0.591	0.571	0.975	36	1	39	27	Cough
0.357	0.588	0.663	0.256	0.891	10	7	57	29	Diarrhea
0.486	0.63	0.658	0.395	0.833	17	10	50	26	Dyspnea
0.519	0.808	0.558	0.382	0.896	21	5	43	34	Fatigue
0.721	0.952	0.525	0.58	0.941	40	2	32	29	Fever or chills
0.62	0.957	0.675	0.458	0.982	22	1	54	26	Headache
0.222	0.125	1.0	1.0	0.931	1	7	95	0	Loss of taste or smell
0	0	0	0	0	0	15	88	0	Muscle or body aches
0.537	0.667	0.614	0.449	0.796	22	11	43	27	Nausea or vomiting
0.554	0.857	0.683	0.409	0.949	18	3	56	26	Sore throat
