F1	Sens	Spec	PPV	NPV	TP	FN	TN	FP	Label
0.844	0.896	0.926	0.798	0.965	249	29	792	63	*
0.909	0.862	0.986	0.962	0.948	25	4	73	1	Congestion or runny nose
0.919	0.919	0.955	0.919	0.955	34	3	63	3	Cough
0.821	0.941	0.93	0.727	0.988	16	1	80	6	Diarrhea
0.792	0.704	0.974	0.905	0.902	19	8	74	2	Dyspnea
0.704	0.962	0.74	0.556	0.983	25	1	57	20	Fatigue
0.907	0.929	0.918	0.886	0.949	39	3	56	5	Fever or chills
0.851	0.87	0.95	0.833	0.962	20	3	76	4	Headache
0.875	0.875	0.989	0.875	0.989	7	1	94	1	Loss of taste or smell
0.596	0.933	0.795	0.438	0.986	14	1	70	18	Muscle or body aches
0.921	0.879	0.986	0.967	0.945	29	4	69	1	Nausea or vomiting
0.955	1.0	0.976	0.913	1.0	21	0	80	2	Sore throat
