F1	Sens	Spec	PPV	NPV	TP	FN	TN	FP	Label
0.901	0.921	0.96	0.883	0.974	256	22	821	34	*
0.947	0.931	0.986	0.964	0.973	27	2	73	1	Congestion or runny nose
0.961	1.0	0.955	0.925	1.0	37	0	63	3	Cough
0.889	0.941	0.965	0.842	0.988	16	1	83	3	Diarrhea
0.863	0.815	0.974	0.917	0.937	22	5	74	2	Dyspnea
0.814	0.923	0.883	0.727	0.971	24	2	68	9	Fatigue
0.909	0.952	0.902	0.87	0.965	40	2	55	6	Fever or chills
0.939	1.0	0.963	0.885	1.0	23	0	77	3	Headache
0.941	1.0	0.989	0.889	1.0	8	0	94	1	Loss of taste or smell
0.769	0.667	0.989	0.909	0.946	10	5	87	1	Muscle or body aches
0.909	0.909	0.957	0.909	0.957	30	3	67	3	Nausea or vomiting
0.905	0.905	0.976	0.905	0.976	19	2	80	2	Sore throat
