F1	Sens	Spec	PPV	NPV	TP	FN	TN	FP	Label
0.771	0.777	0.923	0.766	0.927	216	62	789	66	*
0.735	0.621	0.973	0.9	0.867	18	11	72	2	Congestion or runny nose
0.854	0.946	0.848	0.778	0.966	35	2	56	10	Cough
0.778	0.824	0.942	0.737	0.964	14	3	81	5	Diarrhea
0.755	0.741	0.921	0.769	0.909	20	7	70	6	Dyspnea
0.724	0.808	0.857	0.656	0.93	21	5	66	11	Fatigue
0.841	0.881	0.852	0.804	0.912	37	5	52	9	Fever or chills
0.863	0.957	0.925	0.786	0.987	22	1	74	6	Headache
0.25	0.25	0.937	0.25	0.937	2	6	89	6	Loss of taste or smell
0.111	0.067	0.977	0.333	0.86	1	14	86	2	Muscle or body aches
0.862	0.848	0.943	0.875	0.93	28	5	66	4	Nausea or vomiting
0.818	0.857	0.939	0.783	0.963	18	3	77	5	Sore throat
