F1	Sens	Spec	PPV	NPV	TP	FN	TN	FP	Label
0.78	0.773	0.932	0.788	0.927	215	63	797	58	*
0.667	0.517	0.986	0.938	0.839	15	14	73	1	Congestion or runny nose
0.889	0.973	0.879	0.818	0.983	36	1	58	8	Cough
0.78	0.941	0.907	0.667	0.987	16	1	78	8	Diarrhea
0.708	0.63	0.947	0.81	0.878	17	10	72	4	Dyspnea
0.667	0.808	0.792	0.568	0.924	21	5	61	16	Fatigue
0.889	0.952	0.869	0.833	0.964	40	2	53	8	Fever or chills
0.826	0.826	0.95	0.826	0.95	19	4	76	4	Headache
0.4	0.25	1.0	1.0	0.941	2	6	95	0	Loss of taste or smell
0.118	0.067	0.989	0.5	0.861	1	14	87	1	Muscle or body aches
0.875	0.848	0.957	0.903	0.931	28	5	67	3	Nausea or vomiting
0.87	0.952	0.939	0.8	0.987	20	1	77	5	Sore throat
