F1	Sens	Spec	PPV	NPV	TP	FN	TN	FP	Label
0.814	0.741	0.974	0.904	0.92	206	72	833	22	*
0.571	0.414	0.986	0.923	0.811	12	17	73	1	Congestion or runny nose
0.919	0.919	0.955	0.919	0.955	34	3	63	3	Cough
0.909	0.882	0.988	0.938	0.977	15	2	85	1	Diarrhea
0.698	0.556	0.987	0.938	0.862	15	12	75	1	Dyspnea
0.807	0.885	0.896	0.742	0.958	23	3	69	8	Fatigue
0.905	0.905	0.934	0.905	0.934	38	4	57	4	Fever or chills
0.909	0.87	0.988	0.952	0.963	20	3	79	1	Headache
0.4	0.25	1.0	1.0	0.941	2	6	95	0	Loss of taste or smell
0.118	0.067	0.989	0.5	0.861	1	14	87	1	Muscle or body aches
0.885	0.818	0.986	0.964	0.92	27	6	69	1	Nausea or vomiting
0.927	0.905	0.988	0.95	0.976	19	2	81	1	Sore throat
