F1	Sens	Spec	PPV	NPV	TP	FN	TN	FP	Label
0.889	0.867	0.973	0.913	0.957	241	37	832	23	*
0.947	0.931	0.986	0.964	0.973	27	2	73	1	Congestion or runny nose
0.933	0.946	0.955	0.921	0.969	35	2	63	3	Cough
0.909	0.882	0.988	0.938	0.977	15	2	85	1	Diarrhea
0.727	0.593	0.987	0.941	0.872	16	11	75	1	Dyspnea
0.852	0.885	0.935	0.821	0.96	23	3	72	5	Fatigue
0.943	0.976	0.934	0.911	0.983	41	1	57	4	Fever or chills
0.889	0.87	0.975	0.909	0.963	20	3	78	2	Headache
0.941	1.0	0.989	0.889	1.0	8	0	94	1	Loss of taste or smell
0.583	0.467	0.977	0.778	0.915	7	8	86	2	Muscle or body aches
0.906	0.879	0.971	0.935	0.944	29	4	68	2	Nausea or vomiting
0.952	0.952	0.988	0.952	0.988	20	1	81	1	Sore throat
