F1	Sens	Spec	PPV	NPV	TP	FN	TN	FP	Label
0.755	0.752	0.922	0.757	0.919	209	69	788	67	*
0.622	0.483	0.973	0.875	0.828	14	15	72	2	Congestion or runny nose
0.864	0.946	0.864	0.795	0.966	35	2	57	9	Cough
0.789	0.882	0.93	0.714	0.976	15	2	80	6	Diarrhea
0.727	0.741	0.895	0.714	0.907	20	7	68	8	Dyspnea
0.737	0.808	0.87	0.677	0.931	21	5	67	10	Fatigue
0.841	0.881	0.852	0.804	0.912	37	5	52	9	Fever or chills
0.792	0.826	0.925	0.76	0.949	19	4	74	6	Headache
0.222	0.125	1.0	1.0	0.931	1	7	95	0	Loss of taste or smell
0.125	0.067	1.0	1.0	0.863	1	14	88	0	Muscle or body aches
0.765	0.788	0.871	0.743	0.897	26	7	61	9	Nausea or vomiting
0.816	0.952	0.902	0.714	0.987	20	1	74	8	Sore throat
