F1	Sens	Spec	PPV	NPV	TP	FN	TN	FP	Label
0.908	0.906	0.971	0.91	0.97	252	26	830	25	*
0.966	0.966	0.986	0.966	0.986	28	1	73	1	Congestion or runny nose
0.933	0.946	0.955	0.921	0.969	35	2	63	3	Cough
0.909	0.882	0.988	0.938	0.977	15	2	85	1	Diarrhea
0.84	0.778	0.974	0.913	0.925	21	6	74	2	Dyspnea
0.893	0.962	0.935	0.833	0.986	25	1	72	5	Fatigue
0.92	0.952	0.918	0.889	0.966	40	2	56	5	Fever or chills
0.913	0.913	0.975	0.913	0.975	21	2	78	2	Headache
0.941	1.0	0.989	0.889	1.0	8	0	94	1	Loss of taste or smell
0.64	0.533	0.977	0.8	0.925	8	7	86	2	Muscle or body aches
0.923	0.909	0.971	0.938	0.958	30	3	68	2	Nausea or vomiting
0.977	1.0	0.988	0.955	1.0	21	0	81	1	Sore throat
