F1	Sens	Spec	PPV	NPV	TP	FN	TN	FP	Label
0.646	0.759	0.808	0.563	0.912	211	67	691	164	*
0.591	0.448	0.973	0.867	0.818	13	16	72	2	Congestion or runny nose
0.8	0.919	0.788	0.708	0.945	34	3	52	14	Cough
0.5	0.706	0.779	0.387	0.931	12	5	67	19	Diarrhea
0.594	0.704	0.763	0.514	0.879	19	8	58	18	Dyspnea
0.541	0.769	0.636	0.417	0.891	20	6	49	28	Fatigue
0.734	0.952	0.557	0.597	0.944	40	2	34	27	Fever or chills
0.667	0.957	0.738	0.512	0.983	22	1	59	21	Headache
0.4	0.25	1.0	1.0	0.941	2	6	95	0	Loss of taste or smell
0.118	0.067	0.989	0.5	0.861	1	14	87	1	Muscle or body aches
0.691	0.848	0.714	0.583	0.909	28	5	50	20	Nausea or vomiting
0.727	0.952	0.829	0.588	0.986	20	1	68	14	Sore throat
