F1	Sens	Spec	PPV	NPV	TP	FN	TN	FP	Label
0.84	0.831	0.952	0.849	0.945	231	47	814	41	*
0.84	0.724	1.0	1.0	0.902	21	8	74	0	Congestion or runny nose
0.877	0.865	0.939	0.889	0.925	32	5	62	4	Cough
0.895	1.0	0.953	0.81	1.0	17	0	82	4	Diarrhea
0.75	0.667	0.961	0.857	0.89	18	9	73	3	Dyspnea
0.75	0.923	0.818	0.632	0.969	24	2	63	14	Fatigue
0.907	0.929	0.918	0.886	0.949	39	3	56	5	Fever or chills
0.913	0.913	0.975	0.913	0.975	21	2	78	2	Headache
0.875	0.875	0.989	0.875	0.989	7	1	94	1	Loss of taste or smell
0.615	0.533	0.966	0.727	0.924	8	7	85	3	Muscle or body aches
0.852	0.788	0.971	0.929	0.907	26	7	68	2	Nausea or vomiting
0.857	0.857	0.963	0.857	0.963	18	3	79	3	Sore throat
