F1	Sens	Spec	PPV	NPV	TP	FN	TN	FP	Label
0.809	0.809	0.938	0.809	0.938	225	53	802	53	*
0.83	0.759	0.973	0.917	0.911	22	7	72	2	Congestion or runny nose
0.877	0.865	0.939	0.889	0.925	32	5	62	4	Cough
0.833	0.882	0.953	0.789	0.976	15	2	82	4	Diarrhea
0.766	0.667	0.974	0.9	0.892	18	9	74	2	Dyspnea
0.676	0.923	0.727	0.533	0.966	24	2	56	21	Fatigue
0.907	0.929	0.918	0.886	0.949	39	3	56	5	Fever or chills
0.84	0.913	0.925	0.778	0.974	21	2	74	6	Headache
0.875	0.875	0.989	0.875	0.989	7	1	94	1	Loss of taste or smell
0.538	0.467	0.955	0.636	0.913	7	8	84	4	Muscle or body aches
0.8	0.727	0.957	0.889	0.882	24	9	67	3	Nausea or vomiting
0.842	0.762	0.988	0.941	0.942	16	5	81	1	Sore throat
