F1	Sens	Spec	PPV	NPV	TP	FN	TN	FP	Label
0.804	0.827	0.925	0.782	0.943	230	48	791	64	*
0.909	0.862	0.986	0.962	0.948	25	4	73	1	Congestion or runny nose
0.889	0.865	0.955	0.914	0.926	32	5	63	3	Cough
0.842	0.941	0.942	0.762	0.988	16	1	81	5	Diarrhea
0.8	0.741	0.961	0.87	0.912	20	7	73	3	Dyspnea
0.647	0.846	0.74	0.524	0.934	22	4	57	20	Fatigue
0.84	0.81	0.918	0.872	0.875	34	8	56	5	Fever or chills
0.818	0.783	0.963	0.857	0.939	18	5	77	3	Headache
0.875	0.875	0.989	0.875	0.989	7	1	94	1	Loss of taste or smell
0.585	0.8	0.841	0.462	0.961	12	3	74	14	Muscle or body aches
0.833	0.758	0.971	0.926	0.895	25	8	68	2	Nausea or vomiting
0.809	0.905	0.915	0.731	0.974	19	2	75	7	Sore throat
