F1	Sens	Spec	PPV	NPV	TP	FN	TN	FP	Label
0.573	0.694	0.763	0.487	0.885	193	85	652	203	*
0.537	0.379	0.986	0.917	0.802	11	18	73	1	Congestion or runny nose
0.75	0.892	0.727	0.647	0.923	33	4	48	18	Cough
0.456	0.765	0.686	0.325	0.937	13	4	59	27	Diarrhea
0.5	0.593	0.724	0.432	0.833	16	11	55	21	Dyspnea
0.486	0.654	0.649	0.386	0.847	17	9	50	27	Fatigue
0.757	0.929	0.639	0.639	0.929	39	3	39	22	Fever or chills
0.559	0.826	0.675	0.422	0.931	19	4	54	26	Headache
0.4	0.25	1.0	1.0	0.941	2	6	95	0	Loss of taste or smell
0.125	0.067	1.0	1.0	0.863	1	14	88	0	Muscle or body aches
0.523	0.697	0.543	0.418	0.792	23	10	38	32	Nausea or vomiting
0.551	0.905	0.646	0.396	0.964	19	2	53	29	Sore throat
